startup_name,article_summary,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Retailmarkt fokussierte Marein AG,"2026 Die mobilezone holding ag übernimmt die AK Group, in deren Besitz sich die E-Commerce Plattform Apfelkiste.",2026-03-20,2026,180M CHF,,Undisclosed,,,,,100.0,,Switzerland,B2C Tech,E-commerce,B2C,,BioTech
DiverSSiTy SA MoleSense Sàrl,"2026 Three innovations have been recognized by the Foundation for Innovation and Technology (FIT), with three start-ups receiving Tech Seed loans: digital health company Diverssity, femtech MoleSense medtech start-up MouthGuard.",2026-03-19,2026,0.05M CHF,Seed,Seed,,,,,,,Switzerland,BioTech,,B2B-Hardware,"IoT, BioTech","HealthTech, EdTech"
Rhonexum Sàrl,2026 Cryogenic electronics startup Rhonexum has raised $1 million in pre-seed funding led by equity investment from QDNL Participations.,2026-03-18,2026,1M USD,pre-seed,Pre-Seed,QDNL Participations,,,,,,Switzerland,FinTech,,B2B-Hardware,"DeepTech, Robotics","ClimateTech, Manufacturing"
Rivia SA,"2026 Rivia’s data engine unifies clinical trial data, applies scientific logic at scale, and embeds AI agents directly into review workflows to reduce trial costs by up to 50%.",2026-03-18,2026,15M USD,Series A,Series A,"Earlybird, Defiant, existing investors Speedinvest, Amino Collective, Nina Capital",,,,,,Switzerland,BioTech,,Deep Tech / IP,"GenAI, IoT, BioTech",
Agora Care SA,2026 Geneva-based Agora Care announces a capital increase of CHF 2.,2026-03-17,2026,2.2M CHF,,Award,,Geneva,GE,,,,Switzerland,FinTech,,Unknown,FinTech,"BioTech, HealthTech"
,2026 35 Swiss scaleup executives who have successfully built up scaleups in various founder and C-level roles have together launched the Operator Circle.,2026-03-17,2026,,seed,Seed,,,,,,,Switzerland,BioTech,,B2B-Hardware,"DeepTech, Robotics",
Docdok.health AG,,2026-03-16,2026,,,Undisclosed,,Basel,BS,,,,Switzerland,B2C Tech,Beauty & Cosmetics,Unknown,,HealthTech
Neur.on AI Solutions SA,2026 The legal natural language processing (NLP) team from Fribourg-based legal tech startup Neur.,2026-03-12,2026,81M EUR,Series B,Series B,,,,2017.0,,,Switzerland,Enterprise SaaS,LegalTech,Deep Tech / IP,"AI, DeepTech","BioTech, EdTech, Cybersecurity"
Hyperscale Power AG,2026 Zurich-based Hyperscale Power has raised EUR 5 million in a seed round co-led by World Fund and Vsquared Ventures.,2026-03-12,2026,5M EUR,seed round,Seed,"World Fund, Vsquared Ventures",Zurich,ZH,2025.0,,,Switzerland,AI/ML,AI Infrastructure,Unknown,"AI, DeepTech","ClimateTech, Manufacturing, Logistics"
Axi Labs AG,"2026 Tether, the issuer of the world's largest stablecoin, has taken a strategic stake in Axiym, a Zug-based fintech that routes cross-border payments across 140 countries.",2026-03-11,2026,,strategic investment,Strategic Investment,Tether 11,Zug,ZG,2024.0,,,Switzerland,FinTech,"Payments, Crypto & Blockchain",B2B-Services,"Blockchain, FinTech",
Pregnolia AG,"2026 Following EIC funding, Pregnolia has closed its third round of financing.",2026-03-11,2026,3.4M CHF,,Award,,,,2016.0,,,Switzerland,MedTech,Diagnostics,B2B-Hardware,HealthTech,
,"2026 After announcing the first close of €60 million late in 2025, Emerald’s Global Water Fund started the year by welcoming two additional investors Temasek and Grundfos Foundation.",2026-03-11,2026,,,Grant,,,,2025.0,,,Switzerland,FinTech,,Unknown,FinTech,
,2026 Das Zuger Travel-Tech-Startup Chain4Travel wird vom deutschen Unternehmen Travel Token Marketplace (TTM) übernommen.,2026-03-10,2026,,,Grant,,Zug,ZG,2025.0,,,Switzerland,FinTech,Crypto & Blockchain,Marketplace,Blockchain,BioTech
Seprify AG,25 million to roll out Seprify's procurement-ready cellulose for industry 10.,2026-03-10,2026,12.2M CHF,Series A,Series A,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2C,,"Manufacturing, FoodTech"
Blockstrom AG,2026 Blockstrom gehört zu den Pionieren bei Dienstleistungen für die gemeinsame Nutzung von lokal produziertem Solarstrom.,2026-03-09,2026,,,Undisclosed,,Bern,BE,2017.0,100.0,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
Occlutech Holding AG,2026 Indian pharmaceutical company Alkem MedTech plans to acquire a majority stake in Swiss medtech company Occlutech.,2026-03-09,2026,99.4M EUR,,Grant,,,,2003.0,,,Switzerland,BioTech,Drug Discovery,B2B-Hardware,BioTech,"Manufacturing, EdTech"
Compass Financial Technologies SA,"is enhancing its index calculation capabilities in alternative and multi-asset classes, including commodities and cryptocurrencies, through the acquisition of index services provider, and Swiss fintech Compass Financial Technologies.",2026-03-09,2026,,,,,Lausanne,VD,2024.0,,,Switzerland,FinTech,Crypto & Blockchain,Unknown,"Blockchain, FinTech",PropTech
,"2026 In 2025, female CEOs broke a record for a third year in a row.",2026-03-06,2026,357.3M CHF,seed,Seed,,,,2025.0,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech",
SaveSpace Schweiz GmbH,2026 SaveSpace war bisher vor allem im deutschen Markt aktiv.,2026-03-06,2026,,,Undisclosed,,,,2021.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,,
Selma Finance AG,"2026 Das Zürcher FinTech Selma Finance erhält frische Mittel: Die Zuger Unita Capital Group, ein Investment-Club für technologiegetriebene Unternehmen, ist als Investor eingestiegen.",2026-03-05,2026,,,Undisclosed,,Zug,ZG,2025.0,,,Switzerland,FinTech,WealthTech,Unknown,FinTech,
,tech von der Investorenvereinigung MEDKAP zum HealthTech Business Angel of the Year gewählt.,2026-03-05,2026,,,Award,,Basel,BS,2000.0,,,Switzerland,HealthTech,,Unknown,HealthTech,
,"2026 Kickfund, a Swiss venture capital firm focused on early-stage deep tech, has crossed the 100-company mark – a milestone it reached in under two years, with a current team of three people.",2026-03-05,2026,,,Award,,,,,,,Switzerland,CleanTech,,B2B-Hardware,"DeepTech, Robotics",ClimateTech
Polares Medical SA,,2026-03-04,2026,50M USD,Series C,Series C,,,,,,,Switzerland,BioTech,,Deep Tech / IP,BioTech,HealthTech
Kredo SA,2026 Das Waadtländer Fintech Kredo hat sich in der Westschweiz etabliert und plant nun schweizweit zu expandieren.,2026-03-04,2026,0M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,
Alithea Genomics SA,"2026 Alithea Genomics, an emerging leader in the field of large-scale RNA sequencing and transcriptomics, announced today the closing of its seed financing round with an additional CHF 3 million.",2026-03-04,2026,3M CHF,seed,Seed,Genku Ventures,,,,,,Switzerland,BioTech,"Drug Discovery, Gene Therapy",Deep Tech / IP,"IoT, BioTech",Manufacturing
,2026 Nach der Expansion nach Österreich und der Etablierung in Deutschland tätigt das St.,2026-03-03,2026,,,Undisclosed,,St. Gallen,SG,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,
Fainite AG,"2026 Fainite AG has obtained CHF 150,000 from Venture Kick to accelerate physics-based simulations and make advanced engineering analysis accessible across a wider range of applications.",2026-03-02,2026,0.15M CHF,,Award,,,,,,,Switzerland,AI/ML,Business Intelligence,B2B-Hardware,AI,Manufacturing
STS Digital AG,2026 STS Digital is a regulated principal trading firm specialising in digital asset options and institutional market access.,2026-03-02,2026,30M USD,,Grant,"CMT Digital, Payward, Strobe Ventures, Arrington Capital",,,2017.0,,,Switzerland,FinTech,Crypto & Blockchain,B2B-Services,"Blockchain, FinTech",BioTech
L.E.S.S. SA,"founded in 2012, that designs, develops and manufactures advanced lighting solutions based on its proprietary nano-active fiber technology.",2026-02-27,2026,22M USD,Series C,Series C,,,,2012.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,"HealthTech, Manufacturing"
Verretex SA,2026 EPFL spin-off Verretex regenerates recycled glass fibers into high-performance textiles.,2026-02-27,2026,1.2M CHF,,Award,,,,,,,Switzerland,CleanTech,Circular Economy,Deep Tech / IP,ClimateTech,"BioTech, ClimateTech, Manufacturing"
,"2026 Since the beginning of 2025, Swiss start-ups have been able to apply for funding under the EIC Accelerator Programme again after a four-year hiatus.",2026-02-26,2026,,,Award,,,,2019.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"FinTech, Cybersecurity"
Clee Medical SA,"2026 Clee Medical, a Swiss neurotechnology startup developing novel ultra-high-resolution real-time imaging for brain surgery, today announced the successful closing of its Seed financing round.",2026-02-25,2026,,Seed,Seed,,,,,,,Switzerland,BioTech,Oncology,B2B-Hardware,BioTech,HealthTech
Complete Genomics,2026 Basel-based biotech group Swiss Rockets has acquired U.,2026-02-25,2026,,strategic investment,Strategic Investment,,Basel,BS,2018.0,,,Switzerland,BioTech,"Gene Therapy, Diagnostics, Oncology",Deep Tech / IP,"IoT, BioTech",
Climatex AG,2026 Mit seiner Technologie macht das Schwyzer Unternehmen CLIMATEX Textilien recycelbar – schon beim Design der Fäden.,2026-02-24,2026,3M CHF,,Undisclosed,,,,2008.0,,,Switzerland,Other,,Unknown,,ClimateTech
Bioneris SA Divea SA Enerdrape SA,"2026 The Fondation pour l'Innovation Technologique (FIT) is supporting Enerdrape and its thermal panels, that capture and reuse energy from underground spaces, with a Tech Growth loan of CHF 400,000.",2026-02-24,2026,0M CHF,Seed,Seed,,,,,,,Switzerland,CleanTech,Carbon & Offsetting,B2B-Hardware,ClimateTech,"ClimateTech, FoodTech"
,"2026 Weltweit werden jährlich rund 15 Milliarden US-Dollar an Urheberrechtszahlungen an Musikerinnen und Musiker ausgeschüttet, doch die Erfassung der gespielten Werke, insbesondere bei Live-Konzerten, bleibt komplex.",2026-02-24,2026,,,Undisclosed,,,,,,,Switzerland,Other,,B2B-Hardware,,
STIMIT AG,"2026 Hamilton Medical has successfully completed the acquisition of STIMIT AG, based in Biel.",2026-02-23,2026,,,Award,,,,,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech",HealthTech
Liberty Vorsorge AG,2026 Das auf digitale Anlagelösungen spezialisierte St.,2026-02-23,2026,2.5M CHF,,Award,,,,,,,Switzerland,FinTech,,B2B-Services,FinTech,BioTech
Metafuels AG,"2026 Metafuels' process converts renewable methanol into jet fuel with a significantly higher yield, making it more efficient and cost-effective.",2026-02-20,2026,9M USD,,Grant,"UVC Partners, strong participation from existing investors including Energy Impact Partners",,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"ClimateTech, Manufacturing"
KA-EX,KA-EX secured funding for its business.,2026-02-20,2026,,Series A+,Series A,"Mediaforgrowth, a platform for media capital investment",,,2025.0,,,Switzerland,FinTech,,B2C,FinTech,
Rapidata AG,5 million to eliminate the feedback bottleneck in AI development 20.,2026-02-20,2026,8.5M USD,Seed round,Seed,"Canaan Partners, IA Ventures with participation from Acequia Capital",,,,,,Switzerland,FinTech,,B2C,FinTech,
Flottando Technologies SA SCENARIOX SA,"2026 Three Geneva-based digital projects have each been awarded CHF 50,000: fintech startup Scenario X and ICT startups Flottando and Axy.",2026-02-19,2026,0M CHF,Seed,Seed,,Geneva,GE,2022.0,,fongit.ch.ch,Switzerland,AI/ML,Applied AI,B2B-SaaS,IoT,"BioTech, HealthTech, FinTech"
,"2026 Terralayr übernimmt sämtliche Anteile an BBD (Big Battery Deutschland), einem langjährigen Joint Venture für die Entwicklung von Greenfield-Batterieprojekten, von der auf deutschen Averdung Gruppe.",2026-02-19,2026,192M EUR,,Undisclosed,,,,2022.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,BioTech
ENGIE,"This operation is part of ENGIE's Local Energy Infrastructure strategy to deploy more efficient, compact solutions that are compatible with the renewable resources available in the regions.",2026-02-18,2026,,strategic investment,Strategic Investment,,,,2018.0,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,ClimateTech,"ClimateTech, Manufacturing, PropTech"
Axmed AG,"2026 Axmed, a sourcing and distribution platform for essential medicines, has received a $6 million non-dilutive grant from the Gates Foundation, bringing its total funding to $13 million to date.",2026-02-18,2026,6M USD,,Award,,Basel,BS,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,Marketplace,Logistics,HealthTech
,"announces the successful closing of its latest fundraising round, aimed at strengthening the company’s sales and operational capabilities to support rapid growth.",2026-02-18,2026,,,Award,,Lausanne,VD,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,Manufacturing
Carewell SA KnowThee SA,2026 The Foundation for innovation and technology (FIT) has announced its support for three new innovations at the start of the year.,2026-02-18,2026,0.20M CHF,Seed,Seed,,,,,,,Switzerland,FinTech,InsurTech,Unknown,FinTech,
PropTech  Optiml,"2026 Optiml has secured €8 million in seed financing from KOMPAS VC, Planet A Ventures, and other investors to scale its real estate decision intelligence platform.",2026-02-17,2026,8M EUR,seed,Seed,"KOMPAS VC, Planet A Ventures",,,2022.0,,,Switzerland,FinTech,,Unknown,"AI, GenAI, FinTech","BioTech, PropTech"
Winduction AG,15M to move wireless charging into real-world testing 17.,2026-02-17,2026,1.1M CHF,pre-seed,Pre-Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,,
ScyAI AG,2026 Zurich-based startup ScyAI has closed a €2 million pre-seed round led by AENU and co-led by PT1.,2026-02-16,2026,,pre-seed,Pre-Seed,,Zurich,ZH,2025.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,AI,"ClimateTech, PropTech"
Berlin Heals Holding AG,"2026 Berlin Heals Holding AG, a Swiss-German MedTech company focused on transformative therapies for heart failure, raised over USD 10M from a combination of existing shareholders and new investors.",2026-02-13,2026,10M USD,Series A,Series A,,,,2014.0,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech","HealthTech, EdTech"
Aeroex GmbH,"2026 Infotel, a French IT service company, has acquired a 20% stake in Swiss aviation compliance company AeroEx and plans to take control of the company within three years.",2026-02-13,2026,2M EUR,,,,,,2006.0,,,Switzerland,Other,,Unknown,,BioTech
Conda.ch,und Baabuk starten mit frischem Schwung ins neue Jahr und sammeln auf der Crowdinvesting-Plattform Conda.,2026-02-13,2026,0M CHF,,Undisclosed,,,,2013.0,,,Switzerland,Other,,Unknown,,
,2026 Der vierfache Olympiasieger Dario Cologna engagiert sich neu als Investor und Markenbotschafter beim Schweizer Getränke-Startup KAEX.,2026-02-12,2026,,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,,BioTech
Porters,Porters secured funding for its business.,2026-02-11,2026,,pre-seed,Pre-Seed,,,,2025.0,,,Switzerland,FinTech,Banking Infrastructure,B2B-Hardware,"AI, FinTech",EdTech
Physical AI start-up Algorized,"2026 Algorized transforms standard wireless sensors infrastructure into reliable human-aware perception moving the industry beyond ""detect-and-stop"" systems toward machines with true physical awareness.",2026-02-11,2026,13M USD,Series A,Series A,"Run Ventures, the Amazon Industrial Innovation Fund, Acrobator Ventures",,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"GenAI, Robotics, IoT, Logistics","BioTech, Manufacturing"
UMANITEK AG,"2026 AI safety startup Umanitek has appointed HRH Prince Khaled bin Alwaleed bin Talal Al Saud to its advisory board, supported by a strategic investment from his investment vehicle KBW Ventures, to drive its Middle East expansion.",2026-02-10,2026,,strategic investment,Strategic Investment,KBW Ventures,,,2025.0,,,Switzerland,FinTech,,Deep Tech / IP,FinTech,
Chiral,2026 Chiral is a Swiss deeptech company developing tools and processes for the scalable integration of nanomaterials into next-generation semiconductor devices.,2026-02-06,2026,12M USD,pre-seed,Pre-Seed,"Crane Venture Partners, Innosuisse",,,,,,Switzerland,FinTech,,B2B-Hardware,"DeepTech, Robotics","BioTech, ClimateTech, Manufacturing"
Oxara AG,"2026 Medley Ventures, the entrepreneurial fund backed by the founders of Too Good To Go, joined Oxara as an investor during the company’s Pre-Series A funding round.",2026-02-06,2026,20M CHF,Series A,Series A,Medley Ventures 06,,,,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,ClimateTech,"ClimateTech, Manufacturing, PropTech"
Tracker.ch AG,2026 Die Loxy Schweiz AG übernimmt die Assets der tracker.,2026-02-05,2026,,,Undisclosed,,,,2010.0,,,Switzerland,Other,,Unknown,IoT,
Besso AG,2026 Handels- und Zollvorschriften sind für Unternehmen oft unübersichtlich und unterscheiden sich von Markt zu Markt.,2026-02-04,2026,0M CHF,Seed,Seed,,Bern,BE,2026.0,,,Switzerland,Enterprise SaaS,HR Tech,B2B-SaaS,SaaS,"BioTech, FoodTech"
Haelixa AG,2026 DNA-tracing company Haelixa has raised a EUR 2 million pre-series A round led by Verve Ventures and Zurich Kantonalbank to accelerate the global adoption of its unique solution for supply chain transparency.,2026-02-03,2026,2M EUR,series A,Series A,Verve Ventures,,,2016.0,,,Switzerland,CleanTech,,B2C,ClimateTech,Logistics
,2026 Investment in knowledge-based start-ups rose by 23.,2026-02-03,2026,864M CHF,,,,,,2025.0,,,Switzerland,BioTech,,B2B-Hardware,"IoT, BioTech","FinTech, ClimateTech, EdTech"
,2026 Die Investitionen in wissensbasierte Jungunternehmen stiegen 2025 um 23.,2026-02-03,2026,386M CHF,,Undisclosed,,,,2022.0,,,Switzerland,BioTech,,B2B-Hardware,"IoT, BioTech","FinTech, ClimateTech, EdTech"
,"2026 Les investissements dans les jeunes entreprises basées sur le savoir ont augmenté de 23,9 % en 2025, pour atteindre 2,9 milliards de francs.",2026-02-03,2026,,,,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech","FinTech, ClimateTech"
Zurich- VC,"2026 Constructor Capital, the Swiss venture engine of the Constructor Group ecosystem, has closed its first fund at $110 million to support Seed and Series A startups in DeepTech, software, and EdTech.",2026-02-02,2026,110M USD,Seed,Seed,,Zurich,ZH,2019.0,,,Switzerland,FinTech,,B2B-Services,DeepTech,EdTech
,"2026 Swiss ICT startup DiploTools has obtained CHF 150,000 from Venture Kick as the first funding recipient of the year to develop software designed specifically for diplomatic and policy work.",2026-02-02,2026,0.15M CHF,,Award,,,,2025.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,"AI, SaaS",BioTech
ORamaVR SA,2026 Athens-based VC firms Big Pi Ventures and Evercurious VC have invested $4.,2026-01-30,2026,,seed,Seed,,,,,,,Switzerland,BioTech,Diagnostics,B2B-Hardware,"Robotics, Data Analytics, BioTech",HealthTech
MedTech,2026 SamanTree Medical received a EUR 20 million grant from the European Investment Bank.,2026-01-29,2026,20M EUR,Series B,Series B,InvestEU,,,,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"HealthTech, EdTech"
,"2026 Lausanne-based Scholé AI, an AI-native learning platform built for the modern workforce, today announced it has raised $3 million in funding led by ACE Ventures.",2026-01-28,2026,3M USD,,Undisclosed,ACE Ventures,Lausanne,VD,,,,Switzerland,FinTech,,B2B-Hardware,AI,EdTech
,"2026 b2venture, one of Europe’s most experienced early-stage investors, has closed its Fund V at the hard cap of EUR 150 million, the firm’s largest early-stage fund to date since founding 25 years ago.",2026-01-28,2026,150M EUR,,Undisclosed,,,,2000.0,,,Switzerland,BioTech,,B2B-Hardware,"IoT, BioTech",
RaiseNow AG,"2026 For the past decade, RaiseNow has been providing infrastructure to support non-profit and charity organizations to run modern digital fundraising.",2026-01-27,2026,,Series A,Series A,,,,,,,Switzerland,FinTech,Payments,B2B-SaaS,"Data Analytics, FinTech",
,2026 Swiss-German energy company terralayr has achieved financial close on a €60 million senior secured debt financing to support its portfolio of battery energy storage projects in Germany.,2026-01-27,2026,,,Grant,,,,,50.0,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,FinTech
Windsor.ai,,2026-01-26,2026,,,,,,,2017.0,30.0,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,"AI, Logistics",
